pharmacie_id,medicament_id,disponible,quantite,stock_status,estimated_restock_hours,last_update
1,1770,0,0,Sur commande,6,2026-03-08 13:00:00
1,742,1,16,Disponible,0,2026-03-08 07:00:00
1,1920,0,0,Sur commande,48,2026-03-07 23:00:00
1,736,1,4,Stock faible,0,2026-03-11 13:00:00
1,1655,0,0,Sur commande,24,2026-03-08 11:00:00
1,1404,0,0,Indisponible,6,2026-03-09 17:00:00
1,1303,1,4,Stock faible,0,2026-03-08 04:00:00
1,1076,0,0,Indisponible,24,2026-03-11 02:00:00
1,1257,0,0,Sur commande,24,2026-03-10 19:00:00
1,2034,1,23,Disponible,0,2026-03-09 08:00:00
1,356,0,0,Sur commande,72,2026-03-08 13:00:00
1,1561,0,0,Indisponible,24,2026-03-11 09:00:00
1,243,1,1,Stock faible,0,2026-03-11 13:00:00
1,2730,1,11,Disponible,0,2026-03-10 00:00:00
1,2554,1,18,Disponible,0,2026-03-07 20:00:00
1,2300,0,0,Sur commande,12,2026-03-10 22:00:00
1,1707,1,8,Disponible,0,2026-03-10 21:00:00
1,222,0,0,Indisponible,24,2026-03-09 07:00:00
1,2089,0,0,Indisponible,12,2026-03-08 19:00:00
1,964,0,0,Indisponible,24,2026-03-09 09:00:00
1,268,0,0,Indisponible,48,2026-03-10 05:00:00
1,326,0,0,Indisponible,24,2026-03-10 16:00:00
1,844,1,21,Disponible,0,2026-03-10 02:00:00
1,573,1,3,Stock faible,0,2026-03-07 16:00:00
1,2056,1,5,Stock faible,0,2026-03-09 05:00:00
1,2555,1,12,Disponible,0,2026-03-11 17:00:00
1,1399,1,20,Disponible,0,2026-03-08 12:00:00
1,1279,1,5,Stock faible,0,2026-03-10 20:00:00
1,2691,1,17,Disponible,0,2026-03-09 12:00:00
1,748,0,0,Sur commande,48,2026-03-07 05:00:00
1,1953,0,0,Indisponible,48,2026-03-07 09:00:00
1,1275,1,4,Stock faible,0,2026-03-08 06:00:00
1,1299,1,3,Stock faible,0,2026-03-09 22:00:00
1,1393,0,0,Indisponible,24,2026-03-07 20:00:00
1,870,0,0,Indisponible,6,2026-03-07 19:00:00
1,462,1,13,Disponible,0,2026-03-11 20:00:00
1,2160,1,3,Stock faible,0,2026-03-10 12:00:00
1,1018,0,0,Sur commande,6,2026-03-11 03:00:00
1,2702,1,24,Disponible,0,2026-03-09 02:00:00
1,2203,0,0,Sur commande,6,2026-03-07 20:00:00
1,2232,0,0,Indisponible,24,2026-03-07 19:00:00
1,500,0,0,Indisponible,6,2026-03-08 07:00:00
1,769,1,16,Disponible,0,2026-03-10 09:00:00
1,424,0,0,Indisponible,48,2026-03-09 15:00:00
1,2003,0,0,Indisponible,24,2026-03-10 02:00:00
1,1978,0,0,Sur commande,24,2026-03-10 08:00:00
2,2254,1,4,Stock faible,0,2026-03-10 07:00:00
2,2551,1,16,Disponible,0,2026-03-07 01:00:00
2,1286,1,16,Disponible,0,2026-03-11 08:00:00
2,2036,1,22,Disponible,0,2026-03-08 12:00:00
2,1554,1,15,Disponible,0,2026-03-07 11:00:00
2,1374,1,1,Stock faible,0,2026-03-10 05:00:00
2,1373,1,3,Stock faible,0,2026-03-11 22:00:00
2,1615,1,22,Disponible,0,2026-03-10 07:00:00
2,1558,1,24,Disponible,0,2026-03-08 06:00:00
2,2200,1,2,Stock faible,0,2026-03-07 13:00:00
2,33,1,22,Disponible,0,2026-03-07 11:00:00
2,1881,1,10,Disponible,0,2026-03-09 02:00:00
2,974,1,5,Stock faible,0,2026-03-10 20:00:00
2,2010,1,2,Stock faible,0,2026-03-07 16:00:00
2,1033,1,10,Disponible,0,2026-03-08 01:00:00
2,686,1,22,Disponible,0,2026-03-09 15:00:00
2,1945,0,0,Indisponible,24,2026-03-08 16:00:00
2,2395,1,5,Stock faible,0,2026-03-11 04:00:00
2,1388,1,16,Disponible,0,2026-03-10 10:00:00
2,2405,1,24,Disponible,0,2026-03-11 08:00:00
2,2502,0,0,Sur commande,6,2026-03-11 20:00:00
2,435,1,5,Stock faible,0,2026-03-09 18:00:00
2,767,1,6,Disponible,0,2026-03-11 18:00:00
2,392,1,20,Disponible,0,2026-03-11 17:00:00
2,991,1,5,Stock faible,0,2026-03-10 12:00:00
2,1634,1,8,Disponible,0,2026-03-12 00:00:00
2,64,1,9,Disponible,0,2026-03-12 00:00:00
2,476,1,6,Disponible,0,2026-03-10 09:00:00
2,1146,1,14,Disponible,0,2026-03-07 20:00:00
2,2166,1,17,Disponible,0,2026-03-10 19:00:00
2,871,1,12,Disponible,0,2026-03-10 21:00:00
2,792,1,15,Disponible,0,2026-03-11 19:00:00
2,1629,1,9,Disponible,0,2026-03-11 06:00:00
2,57,1,1,Stock faible,0,2026-03-07 10:00:00
2,611,1,5,Stock faible,0,2026-03-11 21:00:00
2,1352,1,15,Disponible,0,2026-03-10 20:00:00
2,241,1,19,Disponible,0,2026-03-07 19:00:00
2,2633,1,16,Disponible,0,2026-03-08 22:00:00
2,1209,1,24,Disponible,0,2026-03-07 18:00:00
2,371,1,16,Disponible,0,2026-03-09 18:00:00
2,490,1,7,Disponible,0,2026-03-10 05:00:00
2,876,1,16,Disponible,0,2026-03-08 01:00:00
2,1968,1,3,Stock faible,0,2026-03-09 23:00:00
2,1371,1,5,Stock faible,0,2026-03-11 21:00:00
2,2647,1,4,Stock faible,0,2026-03-11 05:00:00
2,773,1,11,Disponible,0,2026-03-08 08:00:00
2,1778,1,8,Disponible,0,2026-03-09 01:00:00
2,1147,1,4,Stock faible,0,2026-03-08 13:00:00
2,1722,1,8,Disponible,0,2026-03-07 01:00:00
2,2605,1,3,Stock faible,0,2026-03-07 01:00:00
2,1297,1,3,Stock faible,0,2026-03-07 13:00:00
2,778,0,0,Indisponible,24,2026-03-11 03:00:00
2,1472,1,11,Disponible,0,2026-03-11 09:00:00
2,2154,0,0,Sur commande,48,2026-03-10 13:00:00
2,2189,0,0,Indisponible,12,2026-03-07 20:00:00
2,1045,0,0,Indisponible,24,2026-03-10 18:00:00
2,2703,0,0,Indisponible,48,2026-03-10 16:00:00
2,2097,0,0,Indisponible,24,2026-03-08 05:00:00
2,2621,1,12,Disponible,0,2026-03-09 10:00:00
2,1089,1,4,Stock faible,0,2026-03-07 14:00:00
2,2019,1,14,Disponible,0,2026-03-11 07:00:00
2,301,0,0,Sur commande,12,2026-03-07 10:00:00
2,1269,0,0,Indisponible,12,2026-03-07 17:00:00
2,1768,0,0,Indisponible,48,2026-03-09 23:00:00
2,2443,0,0,Indisponible,48,2026-03-09 10:00:00
2,2569,0,0,Indisponible,6,2026-03-08 13:00:00
2,2434,0,0,Sur commande,6,2026-03-07 17:00:00
2,662,0,0,Indisponible,6,2026-03-07 02:00:00
2,1856,0,0,Indisponible,48,2026-03-10 03:00:00
2,12,1,16,Disponible,0,2026-03-09 03:00:00
2,1909,1,16,Disponible,0,2026-03-07 08:00:00
2,1124,1,2,Stock faible,0,2026-03-10 03:00:00
2,2823,1,2,Stock faible,0,2026-03-11 05:00:00
2,283,0,0,Indisponible,12,2026-03-08 09:00:00
2,138,1,10,Disponible,0,2026-03-09 02:00:00
2,21,1,5,Stock faible,0,2026-03-07 03:00:00
2,747,0,0,Sur commande,24,2026-03-11 02:00:00
2,136,1,7,Disponible,0,2026-03-07 05:00:00
2,2269,0,0,Sur commande,24,2026-03-10 20:00:00
2,664,1,10,Disponible,0,2026-03-10 12:00:00
3,2755,1,5,Stock faible,0,2026-03-08 14:00:00
3,31,0,0,Indisponible,12,2026-03-08 09:00:00
3,778,1,2,Stock faible,0,2026-03-08 16:00:00
3,2158,1,18,Disponible,0,2026-03-07 21:00:00
3,1126,0,0,Sur commande,24,2026-03-10 20:00:00
3,1772,1,20,Disponible,0,2026-03-10 22:00:00
3,939,1,22,Disponible,0,2026-03-07 11:00:00
3,2573,1,7,Disponible,0,2026-03-10 15:00:00
3,550,1,1,Stock faible,0,2026-03-11 14:00:00
3,2801,1,3,Stock faible,0,2026-03-10 08:00:00
3,2354,0,0,Sur commande,12,2026-03-08 18:00:00
3,1878,0,0,Indisponible,48,2026-03-09 18:00:00
3,820,1,21,Disponible,0,2026-03-09 07:00:00
3,2133,1,20,Disponible,0,2026-03-11 00:00:00
3,971,1,15,Disponible,0,2026-03-10 11:00:00
3,925,1,2,Stock faible,0,2026-03-08 19:00:00
3,1890,1,4,Stock faible,0,2026-03-10 08:00:00
3,781,1,9,Disponible,0,2026-03-11 17:00:00
3,476,0,0,Indisponible,6,2026-03-10 01:00:00
3,2501,1,9,Disponible,0,2026-03-07 15:00:00
3,1968,0,0,Sur commande,48,2026-03-08 22:00:00
3,1632,1,2,Stock faible,0,2026-03-10 18:00:00
3,1580,1,19,Disponible,0,2026-03-10 02:00:00
3,2644,1,5,Stock faible,0,2026-03-09 09:00:00
3,686,1,6,Disponible,0,2026-03-08 22:00:00
3,2502,1,10,Disponible,0,2026-03-11 12:00:00
3,517,1,21,Disponible,0,2026-03-08 06:00:00
3,327,1,11,Disponible,0,2026-03-09 18:00:00
3,605,1,3,Stock faible,0,2026-03-10 05:00:00
3,142,1,6,Disponible,0,2026-03-08 04:00:00
3,1174,1,18,Disponible,0,2026-03-11 13:00:00
3,1093,1,14,Disponible,0,2026-03-09 16:00:00
3,2580,1,7,Disponible,0,2026-03-09 17:00:00
3,611,1,1,Stock faible,0,2026-03-07 13:00:00
3,1110,1,7,Disponible,0,2026-03-09 10:00:00
3,212,1,9,Disponible,0,2026-03-11 03:00:00
3,2252,1,2,Stock faible,0,2026-03-09 09:00:00
3,797,1,12,Disponible,0,2026-03-09 22:00:00
3,2742,0,0,Sur commande,72,2026-03-11 00:00:00
3,1286,1,3,Stock faible,0,2026-03-08 22:00:00
3,2028,1,24,Disponible,0,2026-03-08 06:00:00
3,1373,1,8,Disponible,0,2026-03-07 01:00:00
3,1644,1,7,Disponible,0,2026-03-10 10:00:00
3,876,0,0,Indisponible,24,2026-03-07 10:00:00
3,68,0,0,Indisponible,24,2026-03-11 04:00:00
3,2531,0,0,Indisponible,24,2026-03-08 01:00:00
3,2673,1,17,Disponible,0,2026-03-10 22:00:00
3,2409,1,9,Disponible,0,2026-03-11 21:00:00
3,2010,1,17,Disponible,0,2026-03-09 20:00:00
3,744,1,14,Disponible,0,2026-03-08 00:00:00
3,1778,1,23,Disponible,0,2026-03-10 16:00:00
3,298,1,14,Disponible,0,2026-03-10 14:00:00
3,2184,1,18,Disponible,0,2026-03-07 04:00:00
3,1903,1,2,Stock faible,0,2026-03-10 12:00:00
3,372,1,9,Disponible,0,2026-03-07 17:00:00
3,2835,1,10,Disponible,0,2026-03-09 09:00:00
3,1112,0,0,Indisponible,72,2026-03-10 18:00:00
3,608,1,4,Stock faible,0,2026-03-07 07:00:00
3,74,1,23,Disponible,0,2026-03-09 03:00:00
3,357,1,5,Stock faible,0,2026-03-08 15:00:00
3,2679,1,2,Stock faible,0,2026-03-08 07:00:00
3,1209,0,0,Indisponible,24,2026-03-09 18:00:00
3,419,1,6,Disponible,0,2026-03-07 15:00:00
3,2293,1,22,Disponible,0,2026-03-11 18:00:00
3,176,1,11,Disponible,0,2026-03-11 07:00:00
3,1033,1,15,Disponible,0,2026-03-11 15:00:00
3,2030,0,0,Indisponible,12,2026-03-07 05:00:00
3,1532,0,0,Sur commande,24,2026-03-10 02:00:00
3,1072,1,21,Disponible,0,2026-03-08 20:00:00
3,2166,1,24,Disponible,0,2026-03-07 08:00:00
3,1352,1,2,Stock faible,0,2026-03-07 15:00:00
3,1046,0,0,Sur commande,12,2026-03-08 01:00:00
3,527,0,0,Indisponible,6,2026-03-09 12:00:00
3,420,1,3,Stock faible,0,2026-03-08 21:00:00
3,1946,1,18,Disponible,0,2026-03-11 08:00:00
3,71,1,6,Disponible,0,2026-03-07 09:00:00
3,1554,1,2,Stock faible,0,2026-03-09 13:00:00
3,240,1,12,Disponible,0,2026-03-11 01:00:00
3,1628,1,13,Disponible,0,2026-03-10 19:00:00
3,1400,1,7,Disponible,0,2026-03-07 14:00:00
3,2395,1,18,Disponible,0,2026-03-10 05:00:00
3,1039,1,6,Disponible,0,2026-03-09 15:00:00
3,1716,1,24,Disponible,0,2026-03-09 07:00:00
3,1287,0,0,Indisponible,6,2026-03-10 12:00:00
3,2405,0,0,Sur commande,6,2026-03-12 00:00:00
3,435,1,21,Disponible,0,2026-03-11 16:00:00
3,712,1,23,Disponible,0,2026-03-08 01:00:00
3,1802,1,14,Disponible,0,2026-03-10 14:00:00
3,324,1,2,Stock faible,0,2026-03-11 01:00:00
3,1615,1,24,Disponible,0,2026-03-11 09:00:00
3,94,0,0,Indisponible,72,2026-03-08 12:00:00
3,2819,0,0,Indisponible,6,2026-03-10 12:00:00
3,2254,1,16,Disponible,0,2026-03-10 23:00:00
3,1948,1,24,Disponible,0,2026-03-09 18:00:00
3,1073,1,14,Disponible,0,2026-03-11 01:00:00
3,2135,1,2,Stock faible,0,2026-03-09 04:00:00
3,444,1,20,Disponible,0,2026-03-07 20:00:00
3,513,1,4,Stock faible,0,2026-03-07 17:00:00
3,1706,0,0,Indisponible,12,2026-03-11 00:00:00
3,2245,0,0,Sur commande,72,2026-03-09 05:00:00
3,2382,1,1,Stock faible,0,2026-03-11 07:00:00
3,370,1,9,Disponible,0,2026-03-10 17:00:00
3,1629,1,3,Stock faible,0,2026-03-09 12:00:00
3,1159,1,21,Disponible,0,2026-03-08 22:00:00
3,618,1,5,Stock faible,0,2026-03-09 16:00:00
3,407,1,10,Disponible,0,2026-03-07 19:00:00
3,678,1,13,Disponible,0,2026-03-09 22:00:00
3,2647,1,9,Disponible,0,2026-03-11 04:00:00
3,974,1,4,Stock faible,0,2026-03-08 04:00:00
3,1421,1,19,Disponible,0,2026-03-08 05:00:00
3,195,1,9,Disponible,0,2026-03-09 09:00:00
3,2482,1,15,Disponible,0,2026-03-10 15:00:00
3,381,1,24,Disponible,0,2026-03-07 10:00:00
3,1020,1,14,Disponible,0,2026-03-10 20:00:00
3,1960,1,2,Stock faible,0,2026-03-09 01:00:00
3,1733,1,24,Disponible,0,2026-03-10 15:00:00
3,1502,1,15,Disponible,0,2026-03-08 10:00:00
3,739,1,18,Disponible,0,2026-03-09 18:00:00
3,1861,0,0,Sur commande,24,2026-03-08 20:00:00
3,2298,1,23,Disponible,0,2026-03-07 05:00:00
3,953,1,17,Disponible,0,2026-03-07 23:00:00
3,1394,1,15,Disponible,0,2026-03-09 17:00:00
3,849,1,12,Disponible,0,2026-03-11 09:00:00
3,2288,1,8,Disponible,0,2026-03-08 07:00:00
3,2782,0,0,Sur commande,12,2026-03-11 13:00:00
3,2202,1,5,Stock faible,0,2026-03-10 01:00:00
3,1371,1,11,Disponible,0,2026-03-08 09:00:00
3,2011,1,4,Stock faible,0,2026-03-08 06:00:00
3,2064,1,2,Stock faible,0,2026-03-10 02:00:00
3,2369,1,2,Stock faible,0,2026-03-08 12:00:00
3,490,1,3,Stock faible,0,2026-03-09 22:00:00
3,57,1,15,Disponible,0,2026-03-11 11:00:00
3,2605,1,21,Disponible,0,2026-03-10 15:00:00
3,1146,1,2,Stock faible,0,2026-03-10 21:00:00
3,1420,1,3,Stock faible,0,2026-03-07 11:00:00
3,1199,1,4,Stock faible,0,2026-03-10 05:00:00
3,2200,1,8,Disponible,0,2026-03-07 17:00:00
3,2656,1,13,Disponible,0,2026-03-11 17:00:00
3,2523,1,23,Disponible,0,2026-03-11 22:00:00
3,1021,0,0,Indisponible,24,2026-03-07 16:00:00
3,656,0,0,Indisponible,48,2026-03-08 05:00:00
3,867,1,7,Disponible,0,2026-03-09 16:00:00
3,1740,1,15,Disponible,0,2026-03-08 05:00:00
3,2396,0,0,Sur commande,6,2026-03-09 06:00:00
3,709,0,0,Indisponible,48,2026-03-08 16:00:00
3,2281,0,0,Indisponible,12,2026-03-07 16:00:00
3,2641,1,17,Disponible,0,2026-03-07 08:00:00
3,1869,1,17,Disponible,0,2026-03-10 13:00:00
3,59,1,4,Stock faible,0,2026-03-11 18:00:00
3,1995,0,0,Indisponible,24,2026-03-12 00:00:00
3,1254,1,4,Stock faible,0,2026-03-10 21:00:00
3,2606,1,21,Disponible,0,2026-03-08 04:00:00
3,942,0,0,Sur commande,48,2026-03-11 08:00:00
3,1836,1,16,Disponible,0,2026-03-10 17:00:00
3,1457,1,19,Disponible,0,2026-03-10 18:00:00
3,1385,0,0,Indisponible,48,2026-03-08 08:00:00
3,1917,1,5,Stock faible,0,2026-03-09 04:00:00
3,660,0,0,Sur commande,6,2026-03-09 04:00:00
3,2820,0,0,Sur commande,48,2026-03-11 08:00:00
3,1621,0,0,Sur commande,24,2026-03-10 01:00:00
3,906,1,14,Disponible,0,2026-03-09 15:00:00
3,1784,0,0,Indisponible,24,2026-03-11 08:00:00
3,2446,1,24,Disponible,0,2026-03-10 19:00:00
3,2640,1,23,Disponible,0,2026-03-11 14:00:00
3,1782,1,20,Disponible,0,2026-03-11 09:00:00
3,1712,1,9,Disponible,0,2026-03-10 20:00:00
3,1953,0,0,Indisponible,72,2026-03-10 14:00:00
3,1125,1,1,Stock faible,0,2026-03-10 18:00:00
3,2375,1,15,Disponible,0,2026-03-10 00:00:00
3,895,1,18,Disponible,0,2026-03-10 01:00:00
3,493,1,4,Stock faible,0,2026-03-08 20:00:00
3,2525,0,0,Indisponible,12,2026-03-08 23:00:00
3,1526,0,0,Sur commande,12,2026-03-07 18:00:00
3,2383,0,0,Indisponible,12,2026-03-09 08:00:00
3,2817,1,20,Disponible,0,2026-03-11 05:00:00
3,683,0,0,Indisponible,24,2026-03-07 08:00:00
3,1509,0,0,Indisponible,48,2026-03-11 05:00:00
3,1967,1,4,Stock faible,0,2026-03-07 02:00:00
3,1129,0,0,Indisponible,24,2026-03-10 20:00:00
3,2762,1,24,Disponible,0,2026-03-07 11:00:00
3,291,1,11,Disponible,0,2026-03-08 15:00:00
3,2078,0,0,Indisponible,12,2026-03-09 18:00:00
3,783,0,0,Indisponible,72,2026-03-07 05:00:00
3,2059,1,18,Disponible,0,2026-03-09 16:00:00
3,2290,0,0,Indisponible,6,2026-03-08 23:00:00
3,2657,1,22,Disponible,0,2026-03-09 00:00:00
3,690,0,0,Sur commande,48,2026-03-10 03:00:00
3,2167,0,0,Indisponible,12,2026-03-10 13:00:00
3,1368,0,0,Sur commande,6,2026-03-08 17:00:00
3,857,0,0,Indisponible,24,2026-03-09 16:00:00
3,1255,1,7,Disponible,0,2026-03-08 06:00:00
3,2515,1,6,Disponible,0,2026-03-07 16:00:00
3,1513,0,0,Indisponible,12,2026-03-11 18:00:00
3,2620,0,0,Sur commande,48,2026-03-09 07:00:00
3,2114,0,0,Sur commande,12,2026-03-09 09:00:00
3,2826,1,14,Disponible,0,2026-03-08 11:00:00
3,2138,0,0,Indisponible,48,2026-03-11 12:00:00
3,1989,1,15,Disponible,0,2026-03-10 11:00:00
3,560,0,0,Sur commande,48,2026-03-11 00:00:00
3,1536,0,0,Indisponible,6,2026-03-11 04:00:00
3,1306,0,0,Sur commande,12,2026-03-07 12:00:00
3,2171,1,1,Stock faible,0,2026-03-11 10:00:00
3,775,1,7,Disponible,0,2026-03-11 16:00:00
3,772,1,19,Disponible,0,2026-03-09 03:00:00
3,1807,0,0,Indisponible,24,2026-03-10 12:00:00
3,1519,0,0,Indisponible,48,2026-03-08 20:00:00
3,1019,1,7,Disponible,0,2026-03-11 04:00:00
3,2571,0,0,Sur commande,12,2026-03-08 06:00:00
3,1728,0,0,Indisponible,12,2026-03-10 19:00:00
3,1148,0,0,Indisponible,6,2026-03-11 00:00:00
3,2406,1,11,Disponible,0,2026-03-08 18:00:00
3,1699,1,23,Disponible,0,2026-03-10 19:00:00
3,175,0,0,Indisponible,24,2026-03-10 14:00:00
3,66,0,0,Indisponible,6,2026-03-08 22:00:00
3,1240,0,0,Indisponible,6,2026-03-08 16:00:00
3,921,1,5,Stock faible,0,2026-03-10 22:00:00
3,2691,1,20,Disponible,0,2026-03-10 20:00:00
3,1745,0,0,Indisponible,24,2026-03-07 05:00:00
3,2718,0,0,Indisponible,24,2026-03-09 16:00:00
3,2006,0,0,Indisponible,24,2026-03-07 01:00:00
4,1885,1,1,Stock faible,0,2026-03-08 12:00:00
4,1706,0,0,Indisponible,24,2026-03-08 09:00:00
4,1466,1,8,Disponible,0,2026-03-08 09:00:00
4,2099,1,2,Stock faible,0,2026-03-10 22:00:00
4,2395,1,15,Disponible,0,2026-03-08 08:00:00
4,2298,1,18,Disponible,0,2026-03-10 03:00:00
4,407,0,0,Indisponible,12,2026-03-09 15:00:00
4,2790,1,23,Disponible,0,2026-03-08 19:00:00
4,2501,1,5,Stock faible,0,2026-03-08 16:00:00
4,1778,1,4,Stock faible,0,2026-03-09 23:00:00
4,970,1,3,Stock faible,0,2026-03-09 11:00:00
4,2405,0,0,Indisponible,24,2026-03-10 08:00:00
4,2482,1,10,Disponible,0,2026-03-08 18:00:00
4,608,1,19,Disponible,0,2026-03-09 14:00:00
4,1903,1,1,Stock faible,0,2026-03-08 14:00:00
4,1786,1,3,Stock faible,0,2026-03-11 08:00:00
4,871,1,16,Disponible,0,2026-03-09 10:00:00
4,656,1,4,Stock faible,0,2026-03-08 23:00:00
4,2580,1,20,Disponible,0,2026-03-11 11:00:00
4,1634,1,2,Stock faible,0,2026-03-09 18:00:00
4,1598,1,6,Disponible,0,2026-03-10 03:00:00
4,1352,1,8,Disponible,0,2026-03-11 22:00:00
4,678,1,22,Disponible,0,2026-03-09 22:00:00
4,767,1,21,Disponible,0,2026-03-07 07:00:00
4,492,1,10,Disponible,0,2026-03-08 05:00:00
4,240,1,15,Disponible,0,2026-03-08 21:00:00
4,739,0,0,Sur commande,72,2026-03-10 05:00:00
4,2679,1,3,Stock faible,0,2026-03-08 01:00:00
4,2369,0,0,Indisponible,6,2026-03-10 08:00:00
4,1073,0,0,Indisponible,12,2026-03-11 06:00:00
4,1558,1,5,Stock faible,0,2026-03-11 00:00:00
4,298,0,0,Indisponible,12,2026-03-11 18:00:00
4,2552,1,6,Disponible,0,2026-03-07 09:00:00
4,2502,1,24,Disponible,0,2026-03-10 17:00:00
4,305,1,9,Disponible,0,2026-03-09 19:00:00
4,867,1,22,Disponible,0,2026-03-10 02:00:00
